EST;LON;LAT;Orden
154;-73,48;-38,83;1
149;-73,53;-38,67;2
47;-73,60;-38,67;3
150;-73,61;-38,67;4
151;-73,72;-38,67;5
46;-73,74;-38,67;6
45;-73,89;-38,67;7
152;-73,93;-38,67;8
44;-74,04;-38,67;9
153;-74,05;-38,67;10
148;-73,56;-38,50;11
147;-73,55;-38,33;12
146;-73,68;-38,33;13
145;-73,82;-38,33;14
144;-74,07;-38,33;15
143;-74,16;-38,33;16
142;-73,51;-38,17;17
43;-73,57;-38,17;18
42;-73,70;-38,17;19
41;-73,83;-38,17;20
137;-73,52;-38,00;21
138;-73,61;-38,00;22
139;-73,71;-38,00;23
140;-73,93;-38,00;24
141;-74,04;-38,00;25
136;-73,65;-37,83;26
133;-73,72;-37,67;27
40;-73,73;-37,67;28
134;-73,80;-37,67;29
39;-73,80;-37,67;30
135;-73,88;-37,67;31
38;-73,88;-37,67;32
132;-73,68;-37,50;33
126;-73,71;-37,33;34
127;-73,85;-37,33;35
